Id_producto,Producto,Laboratorio,Clasificacion
287407,termometro-infrarrojo-et-306,SCIANMED,destacado-invierno
290025,muno-probioticos-vitaminas-vitaminas-30-comprimidos,AXON,destacado-invierno
289436,pharmaton-multivitaminico-minerales-gingseng-g115-30-comprimidos-recubierto,SANOFI CHC,destacado-invierno
11003,cebion-vitamina-c-acido-ascorbico-1000-mg-10-comprimidos,P&amp;G EX MERCK CONSUMO,destacado-invierno
258320,tapsin-forte-paracetamol-650-mg-20-comprimidos-recubiertos,MAVER,destacado-invierno
295837,sanigermin-cobre-jabon-en-crema-320-ml-aroma-vainilla,SANITAS,destacado-invierno
295838,sanigermin-cobre-jabon-en-crema-320-ml-aroma-frutos-rojos,SANITAS,destacado-invierno
300644,home-control-kit-test-rapido-de-deteccion-del-anticuerpo-covid-19-1-unidad,LA PREPIE,destacado-invierno
257310,disgren-aas-acido-acetilsalicilico-81-mg-30-comprimidos-recubiertos,PASTEUR,destacado-invierno
3121,cardioaspirina-acido-acetilsalicilico-100-mg-20-comprimidos,BAYER POPULAR,destacado-invierno
259839,vantux-max-biotina-015-mg-60-capsulas,ROYAL PHARMA,destacado-invierno
260536,geniol-adultos-paracetamol-500-mg-20-comprimidos,MINTLAB,destacado-invierno
266050,tapsin-puro-sin-cafeina-paracetamol-500-mg-16-comprimidos,MAVER,destacado-invierno
266145,xumadol-paracetamol-1000-mg-20-comprimidos,ITF FARMA,destacado-invierno
272657,la-prepie-parche-gel-frio-4-unidades,VARIOS ACC.MEDICOS,accesorios-medicos
272658,la-prepie-sticker-termometro-6-unidades,VARIOS ACC.MEDICOS,accesorios-medicos
137010,opti-free-express-solucion-desinfectante-multiproposito-355-ml,ALCON OPTICA,accesorios-medicos
265441,multiproposito-solucion-120-ml,VISION CARE,accesorios-medicos
260150,small-estuche,DIUANA,accesorios-medicos
260163,safety-shield-dispositivo,DIUANA,accesorios-medicos
286080,xl-dispensador,DIUANA,accesorios-medicos
265442,multiproposito-solucion-300-ml,VISION CARE,accesorios-medicos
182074,guantes-talla-8-esteriles-1-par-de-guantes,ADVENTA,accesorios-medicos
182072,guantes-talla-7-esteriles-1-par-de-guantes,ADVENTA,accesorios-medicos
182116,1-paleta-de-madera-desechable,CHANNELMED,accesorios-medicos
290418,estuche-mini-pastillero-7-dias,BEST HOUSE,accesorios-medicos
252446,exagonal-estuche,DIUANA,accesorios-medicos
136064,insulina-jeringa,BD DIABETES,accesorios-medicos
136025,aguja%C2%A0hipodermica-desechable-18gx1-12,BD MEDICAL,accesorios-medicos
136017,jeringa%C2%A0hipodermica-desechable-21g1-12-10-ml,BD MEDICAL,accesorios-medicos
706299,bd-ultra-fine-iii-agujas,BD DIABETES,accesorios-medicos
290420,estuche-pastillero-7-dias,BEST HOUSE,accesorios-medicos
137009,express-solucion-120-ml,ALCON OPTICA,accesorios-medicos
182005,chata-chata,HADDAD PLASTICOS,accesorios-medicos
277356,clean-solucion,VARIOS ESPECIFICOS,accesorios-medicos
182071,guantes-talla-6-12-esteriles-1-par-de-guantes,ADVENTA,accesorios-medicos
82133,pack-de-2-pilas-aaa-,DURACELL,accesorios-medicos
269116,pure-moist-solucion-300-ml,ALCON OPTICA,accesorios-medicos
261174,tanyx-proeffect-parche,FARMOQUIMICA,accesorios-medicos
136051,bd-medical-insulina-jeringa,BD DIABETES,accesorios-medicos
292353,penta-point-bd-ultra-fine-1-aguja,BD DIABETES,accesorios-medicos
269118,pure-moist-gota-oftalmica-10-ml,ALCON OPTICA,accesorios-medicos
262531,replenish-solucion-300-ml,ALCON OPTICA,accesorios-medicos
